id,race,age,sex,marital,satjob,hapmar,life,postlife,educ,degree,paeduc,maeduc,speduc,income,health,hompop,agewed,sibs,paeindex,educindx,maeindex
1012,1,27,1,1,2,2,1,1,12,1,NA,12,15,15,2,4,20,6,NA,2,2
1013,1,32,2,1,3,2,2,1,13,1,16,11,13,14,2,2,21,4,2,2,1
1014,1,41,2,3,1,NA,1,1,13,1,12,12,NA,11,2,4,19,1,2,2,2
1015,1,33,2,1,2,1,1,NA,13,1,12,12,16,16,2,4,19,2,2,2,2
1016,1,41,1,3,1,NA,1,2,16,3,11,14,NA,16,2,2,21,2,1,2,2
1017,1,29,2,1,2,1,1,1,14,1,12,12,15,15,1,2,21,3,2,2,2
1018,1,42,1,1,1,2,1,2,16,3,14,13,14,16,1,4,24,3,2,2,2
1019,1,54,2,1,2,1,2,2,15,1,6,12,12,17,1,3,21,7,1,2,2
1020,1,39,1,1,1,1,1,2,19,4,13,12,16,17,2,4,25,2,2,2,2
1021,1,73,2,1,NA,2,3,1,18,3,8,13,19,13,3,2,31,5,1,2,2
1022,1,61,2,1,1,1,2,2,11,0,NA,12,12,12,2,2,15,8,NA,1,2
1023,1,58,2,1,1,2,1,1,12,1,8,12,12,13,1,2,21,1,1,2,2
1024,1,33,2,1,2,2,2,1,16,2,12,17,13,9,2,4,19,7,2,2,2
1025,1,45,2,1,3,2,2,1,11,0,NA,8,9,11,1,2,18,4,NA,1,1
1026,1,39,1,1,2,1,2,1,14,2,0,8,12,12,1,5,20,1,NA,2,1
1027,1,35,1,1,2,2,2,1,12,1,12,8,12,15,2,4,21,3,2,2,1
1028,1,49,1,1,1,1,1,2,12,1,NA,NA,4,16,1,3,19,2,NA,2,NA
1029,1,38,1,1,4,1,1,1,12,1,4,12,13,17,1,6,16,0,1,2,2
1030,1,58,1,1,3,2,2,1,13,1,9,9,12,15,2,2,19,1,1,2,1
1031,1,48,2,1,1,1,2,2,13,1,5,12,NA,15,2,2,18,3,1,2,2
1032,1,53,2,3,2,NA,1,2,11,1,10,8,NA,9,2,1,18,1,1,1,1
1033,1,26,1,1,1,2,2,NA,12,1,NA,12,13,13,2,2,21,3,NA,2,2
1034,1,68,2,2,1,NA,2,1,11,0,NA,8,NA,10,3,2,18,6,NA,1,1
1035,1,39,1,3,2,NA,3,2,13,1,6,10,NA,11,1,1,20,3,1,2,1
1036,1,42,1,3,2,NA,1,2,10,0,6,12,NA,11,1,1,22,8,1,1,2
1037,1,33,2,3,1,NA,2,1,16,2,NA,8,NA,15,2,3,20,2,NA,2,1
1038,1,21,2,5,NA,NA,1,1,15,1,16,12,NA,17,1,3,NA,3,2,2,2
1039,1,18,1,5,1,NA,1,1,11,0,16,16,NA,16,2,6,NA,3,2,1,2
1040,1,34,2,2,2,NA,1,NA,14,1,9,12,NA,11,3,2,20,5,1,2,2
1041,1,45,1,1,1,1,1,1,15,1,4,8,12,17,1,4,31,3,1,2,1
1042,1,29,1,1,3,1,1,1,16,3,12,12,16,14,1,3,24,1,2,2,2
1043,1,33,2,1,2,2,2,1,12,1,12,11,13,14,2,6,20,2,2,2,1
1044,1,52,2,1,1,1,1,1,17,3,11,8,13,16,1,10,27,1,1,2,1
1045,1,54,2,2,4,NA,2,1,18,3,10,8,NA,14,1,2,23,2,1,2,1
1046,1,44,2,3,1,NA,3,1,9,0,NA,8,NA,10,1,1,18,6,NA,1,1
1047,1,43,2,1,2,1,2,1,12,1,12,12,12,15,1,6,21,2,2,2,2
1048,1,41,2,1,2,1,1,1,16,3,NA,14,17,16,2,6,22,3,NA,2,2
1049,1,39,1,3,2,NA,1,1,12,1,13,12,NA,7,1,4,34,10,2,2,2
1050,1,61,2,1,1,1,2,1,12,1,8,10,14,11,3,3,21,3,1,2,1
1051,1,61,2,1,1,1,2,1,15,1,10,11,18,14,1,4,22,9,1,2,1
1052,1,32,2,1,1,1,2,1,15,1,10,12,20,16,2,4,21,0,1,2,2
1053,1,27,2,5,3,NA,2,1,13,1,NA,13,NA,9,2,1,NA,9,NA,2,2
1054,1,28,2,5,2,NA,2,1,16,3,14,13,NA,10,2,1,NA,8,2,2,2
1055,1,33,2,1,2,2,2,1,14,1,5,12,14,11,1,4,22,11,1,2,2
1056,1,58,1,1,NA,1,NA,1,10,0,NA,NA,11,13,2,2,24,5,NA,1,NA
1057,1,22,1,5,NA,NA,2,1,15,1,18,16,NA,4,1,3,NA,3,2,2,2
1058,1,72,1,1,NA,1,1,1,14,1,14,12,16,9,1,2,26,9,2,2,2
1059,1,26,2,1,NA,1,1,1,16,3,20,16,17,17,1,4,21,4,2,2,2
1060,1,49,1,1,2,2,1,1,18,4,12,12,14,16,1,9,25,4,2,2,2
1061,1,22,2,1,NA,1,1,1,15,1,16,11,14,9,1,3,21,7,2,2,1
1062,1,NA,2,1,NA,1,1,NA,12,1,NA,NA,12,NA,NA,4,20,NA,NA,2,NA
1063,1,83,2,1,2,2,2,1,12,0,12,12,12,8,2,2,24,7,2,2,2
1064,1,36,1,4,2,NA,1,1,17,3,13,12,NA,14,1,1,26,2,2,2,2
1065,1,25,2,1,3,1,2,1,16,3,NA,16,16,12,2,2,22,6,NA,2,2
1066,1,66,2,2,1,NA,3,1,8,0,NA,NA,NA,7,3,1,23,6,NA,1,NA
1067,1,57,1,1,2,1,2,1,10,0,6,8,13,15,2,3,30,4,1,1,1
1068,1,51,2,3,3,NA,2,1,11,0,NA,NA,NA,9,1,1,17,3,NA,1,NA
1069,1,42,1,3,4,NA,2,1,16,3,8,16,NA,15,2,1,19,2,1,2,2
1070,1,56,1,1,NA,1,2,1,7,0,NA,NA,9,11,3,2,23,7,NA,1,NA
1071,1,68,1,1,NA,1,2,1,12,1,8,8,12,12,3,2,21,6,1,2,1
1072,2,81,2,2,2,NA,3,1,10,0,NA,5,NA,5,3,1,25,3,NA,1,1
1073,1,53,2,1,3,2,3,1,12,1,12,10,12,17,3,2,20,6,2,2,1
1074,1,44,2,2,2,NA,2,1,14,2,16,10,NA,11,3,3,23,0,2,2,1
1075,1,55,1,1,1,1,2,2,14,1,NA,8,18,17,1,3,30,4,NA,2,1
1076,1,22,1,1,1,1,1,2,14,2,14,13,12,13,1,2,21,3,2,2,2
1077,1,22,2,1,4,1,2,1,12,1,16,13,12,9,3,2,18,3,2,2,2
1078,1,32,2,3,2,NA,2,1,12,1,10,9,NA,7,2,3,18,2,1,2,1
1079,1,32,2,1,3,2,3,1,12,1,12,12,18,17,2,4,18,7,2,2,2
1080,1,37,1,1,4,1,1,1,14,1,12,12,12,11,2,5,35,3,2,2,2
1081,1,36,2,1,2,1,1,1,13,1,12,16,10,17,3,2,20,1,2,2,2
1082,1,63,1,1,NA,2,2,1,12,1,NA,NA,10,11,2,2,22,6,NA,2,NA
1083,1,75,2,2,NA,NA,2,1,9,0,6,0,NA,5,2,1,19,4,1,1,NA
1084,1,24,2,1,2,2,2,2,13,1,11,12,12,11,2,3,22,12,1,2,2
1085,1,34,2,1,1,1,1,1,16,3,9,12,18,12,1,3,20,3,1,2,2
1086,1,59,1,3,2,NA,1,NA,12,1,8,8,NA,15,2,2,28,0,1,2,1
1087,1,74,2,1,NA,1,2,NA,12,1,8,8,9,13,2,3,21,NA,1,2,1
1088,1,57,2,1,2,3,2,2,11,0,NA,NA,7,13,3,3,17,13,NA,1,NA
1089,1,28,2,1,1,2,2,1,12,1,NA,12,12,11,2,2,18,2,NA,2,2
1090,1,36,1,1,3,1,2,1,12,1,12,12,12,13,1,4,22,6,2,2,2
1091,1,46,1,1,1,1,1,1,12,1,4,12,11,4,2,5,25,2,1,2,2
1092,1,54,1,1,1,1,1,1,8,0,NA,NA,8,15,2,2,21,11,NA,1,NA
1093,1,56,1,1,NA,1,1,1,12,1,12,12,14,10,2,4,21,8,2,2,2
1094,1,48,2,1,NA,1,3,1,13,1,14,14,12,9,3,2,22,3,2,2,2
1095,1,48,2,2,NA,NA,2,2,12,1,8,NA,NA,9,2,1,24,2,1,2,NA
1096,1,61,2,1,2,2,2,1,8,0,3,3,14,14,2,2,22,4,1,1,1
1097,1,38,1,1,4,1,2,NA,17,3,8,12,16,15,2,2,36,2,1,2,2
1098,1,36,2,1,1,2,2,1,12,1,10,12,12,15,1,4,18,3,1,2,2
1099,1,43,2,1,NA,2,1,1,12,1,6,9,12,12,3,3,22,1,1,2,1
1100,1,24,1,1,1,1,1,1,11,0,14,12,12,9,1,4,21,2,2,1,2
1101,1,34,1,5,1,NA,1,1,14,2,14,16,NA,13,1,1,NA,3,2,2,2
1102,1,27,1,1,3,3,2,1,8,0,11,12,12,2,2,3,22,7,1,1,2
1103,1,62,2,1,1,1,2,1,12,1,NA,NA,8,15,2,2,33,10,NA,2,NA
1104,1,67,2,1,1,2,2,1,9,0,NA,NA,9,8,2,2,19,5,NA,1,NA
1105,1,33,1,1,2,2,1,1,12,1,6,12,12,12,3,4,29,4,1,2,2
1106,1,25,1,5,3,NA,2,1,12,1,NA,12,NA,15,2,3,NA,2,NA,2,2
1107,1,55,1,4,4,NA,2,NA,8,0,12,NA,NA,3,3,1,24,7,2,1,NA
1108,1,35,1,5,2,NA,2,2,16,3,12,8,NA,13,2,1,NA,2,2,2,1
1109,1,54,1,1,NA,2,2,1,12,1,NA,NA,12,5,3,2,27,3,NA,2,NA
1110,1,56,1,3,1,NA,2,2,9,0,NA,NA,NA,15,2,2,22,8,NA,1,NA
1111,1,23,1,5,1,NA,1,1,16,3,11,12,NA,15,2,3,NA,1,1,2,2
1112,1,25,2,1,1,1,2,1,12,1,12,14,12,14,2,5,16,6,2,2,2
1113,1,28,1,1,2,1,2,1,12,1,8,10,12,14,2,5,20,4,1,2,1
