Gait Up - Physilog data export
Created on: 2023-07-13 12:38:28
Total data points: NaN

Time [512 hz],Gyro [64 hz],,,Accel [64 hz],,,Baro [64 hz],,Mag [64 hz],,,Quaternion [64 hz],,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Mag X,Mag Y,Mag Z,Quat W,Quat X,Quat Y,Quat Z
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[G],[G],[G],[],[],[],[]
